id,title,description,skills,location,duration,organization
1,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Dehradun,5 weeks,CodeCrafters
2,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Chennai,2 months,Analytics Hub
3,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Pune,2 months,College Labs
4,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Noida,4 months,Tech Startup
5,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Hyderabad,1 month,DataWorks
6,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Jaipur,2 months,Tech Startup
7,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Lucknow,2 months,WebSolutions
8,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Ahmedabad,1 month,Analytics Hub
9,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Bhubaneswar,5 weeks,CodeCrafters
10,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Gurgaon,5 weeks,DataWorks
11,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Delhi,5 weeks,MarketCo
12,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Bhubaneswar,3 months,FinLabs
13,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Gurgaon,3 months,MarketCo
14,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Gurgaon,5 weeks,CodeCrafters
15,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Gurgaon,2 months,WebSolutions
16,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Delhi,2 months,DesignStudios
17,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Gurgaon,6 months,Tech Startup
18,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Mumbai,6 months,College Labs
19,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Pune,6 months,DataWorks
20,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Jaipur,4 months,MobileWorks
21,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Bhubaneswar,2 months,DesignStudios
22,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Bhubaneswar,4 months,MobileWorks
23,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Goa,3 months,DataWorks
24,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Gurgaon,5 weeks,CodeCrafters
25,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Kolkata,3 months,DesignStudios
26,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Ahmedabad,5 weeks,FinLabs
27,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Ahmedabad,1 month,WebSolutions
28,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bhubaneswar,2 months,CodeCrafters
29,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Goa,4 months,MarketCo
30,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Bengaluru,1 month,FinLabs
31,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Bengaluru,2 months,CodeCrafters
32,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Bhubaneswar,5 weeks,CodeCrafters
33,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Delhi,3 months,Tech Startup
34,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Bengaluru,6 months,FinLabs
35,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Delhi,6 months,Analytics Hub
36,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Kolkata,4 months,WebSolutions
37,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Delhi,3 months,Analytics Hub
38,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Hyderabad,2 months,DataWorks
39,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Dehradun,4 months,FinLabs
40,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Delhi,1 month,DataWorks
41,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Jaipur,4 months,College Labs
42,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Noida,1 month,College Labs
43,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Hyderabad,3 months,College Labs
44,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Chennai,4 months,College Labs
45,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Jaipur,1 month,MarketCo
46,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Goa,2 months,College Labs
47,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Delhi,4 months,WebSolutions
48,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Jaipur,3 months,FinLabs
49,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Chennai,1 month,Tech Startup
50,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Bhubaneswar,2 months,College Labs
51,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Kolkata,5 weeks,DesignStudios
52,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Kolkata,2 months,CodeCrafters
53,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Jaipur,2 months,FinLabs
54,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Lucknow,1 month,Analytics Hub
55,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bhubaneswar,2 months,WebSolutions
56,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Gurgaon,1 month,DataWorks
57,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Chennai,4 months,College Labs
58,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Mumbai,5 weeks,DesignStudios
59,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Gurgaon,2 months,MarketCo
60,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Gurgaon,1 month,Analytics Hub
61,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Delhi,5 weeks,Tech Startup
62,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Kolkata,4 months,College Labs
63,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Lucknow,6 months,MobileWorks
64,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Ahmedabad,3 months,Analytics Hub
65,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Lucknow,3 months,WebSolutions
66,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Goa,4 months,CodeCrafters
67,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Gurgaon,1 month,CodeCrafters
68,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Gurgaon,3 months,CodeCrafters
69,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Lucknow,6 months,DataWorks
70,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Pune,5 weeks,FinLabs
71,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Lucknow,5 weeks,MobileWorks
72,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Jaipur,3 months,Tech Startup
73,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Lucknow,5 weeks,DesignStudios
74,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Jaipur,3 months,College Labs
75,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Bhubaneswar,1 month,MobileWorks
76,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Kolkata,4 months,DataWorks
77,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Ahmedabad,3 months,College Labs
78,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Pune,2 months,CodeCrafters
79,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Gurgaon,5 weeks,Analytics Hub
80,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Goa,1 month,College Labs
81,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Hyderabad,1 month,DataWorks
82,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Dehradun,1 month,MarketCo
83,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Lucknow,4 months,Tech Startup
84,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Noida,3 months,WebSolutions
85,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Goa,1 month,College Labs
86,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Hyderabad,1 month,DataWorks
87,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Chennai,6 months,DesignStudios
88,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Lucknow,2 months,DesignStudios
89,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Goa,1 month,College Labs
90,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Chennai,4 months,College Labs
91,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Delhi,4 months,FinLabs
92,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Chennai,5 weeks,FinLabs
93,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Goa,4 months,MarketCo
94,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Pune,4 months,CodeCrafters
95,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Bengaluru,4 months,Tech Startup
96,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Jaipur,3 months,College Labs
97,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Jaipur,6 months,Tech Startup
